X,btc_usd,atrct,trvou,hrate,ntrep,mwtrv,vix,sp500,gold,silver,bearish,yuan_usd,gbp_usd,rub_usd,United_States,China,Nigeria,South.Africa,Venezuela,Colombia,Bolivia,Corona,Elon
2017-01-01,998.325012,12.27,33991911.05,2463610.66,290282,0,14.04,2238.83,1150,15.936,0.2574,0.143982,1.228803,0.016572,5,23,45,7,23,4,25,0,0
2017-01-02,1021.75,10.84,57597031.98,2526780.16,297650,0,14.04,2238.83,1150,15.936,0.2574,0.144013,1.234903,0.016332,5,23,45,7,23,4,25,0,0
2017-01-03,1043.839966,12.35,8324525.772,2589949.671,297536,0,12.85,2257.83,1160.400024,16.356001,0.2574,0.144009,1.228199,0.016332,5,23,45,7,23,4,25,0,0
2017-01-04,1154.72998,12.34,143134274.6,2432025.91,284086,0,11.85,2270.75,1163.800049,16.499001,0.2574,0.143682,1.22456,0.016414,5,23,45,7,23,4,25,0,0
2017-01-05,1013.380005,10.69,208498259.8,2210932.64,284086,0,11.67,2269,1179.699951,16.584,0.2523,0.144402,1.232681,0.016566,5,23,45,7,23,4,25,0,0
2017-01-06,902.200989,11.48333333,36041021.23,2542572.542,342362,0,11.32,2276.98,1171.900024,16.466,0.2523,0.145182,1.242545,0.016835,5,23,45,7,23,4,25,0,0
2017-01-07,908.585022,11.48,97175659.27,2195140.26,280726,0,11.32,2276.98,1171.900024,16.466,0.2523,0.145182,1.242545,0.016835,5,23,45,7,23,4,25,0,0
2017-01-08,911.198975,10.43,55303632.48,2637326.79,256862,0,11.32,2276.98,1171.900024,16.466,0.2523,0.145182,1.242545,0.016835,4,13,38,4,17,3,24,0,0
2017-01-09,902.828003,10.71666667,8183329.337,2147763.141,267011,0,11.56,2268.9,1183.5,16.629999,0.2523,0.144561,1.226091,0.016788,4,13,38,4,17,3,24,0,0
2017-01-10,907.679016,10.71,31485218.71,2679581.83,320848,0,11.49,2268.9,1184.199951,16.802999,0.2523,0.144161,1.217345,0.016638,4,13,38,4,17,3,24,0,0
2017-01-11,777.757019,10.71,131253668.4,2562350.13,299020,0,11.26,2275.32,1195.599976,16.783001,0.2523,0.144484,1.217434,0.016628,4,13,38,4,17,3,24,0,0
2017-01-12,804.833984,8.5,28015965.74,2897297.864,291655,0,11.54,2270.44,1198.900024,16.780001,0.2697,0.144173,1.221449,0.016729,4,13,38,4,17,3,24,0,0
2017-01-13,823.984009,8.5,55509952.11,2528855.36,271629,0,11.23,2274.64,1195.300049,16.719999,0.2697,0.145035,1.216545,0.016826,4,13,38,4,17,3,24,0,0
2017-01-14,818.411987,8.98,27475928.3,2880550.47,238971,0,11.23,2274.64,1195.300049,16.719999,0.2697,0.145035,1.216545,0.016826,4,13,38,4,17,3,24,0,0
2017-01-15,821.797974,7,5423872.051,2796813.545,232132,0,11.23,2274.64,1195.300049,16.719999,0.2697,0.145035,1.216545,0.016826,3,4,28,4,12,4,12,0,0
2017-01-16,831.533997,7,22109924.9,2830308.31,264758,0,11.23,2274.64,1195.300049,16.719999,0.2697,0.144953,1.203935,0.016768,3,4,28,4,12,4,12,0,0
2017-01-17,907.937988,12.6,66791560.4,2646087.06,288284,0,11.87,2267.89,1212,17.101999,0.2697,0.145117,1.204021,0.016727,3,4,28,4,12,4,12,0,0
2017-01-18,886.617981,12.425,11126738.06,2528855.361,293432,0,12.48,2271.89,1211.300049,17.235001,0.2697,0.146101,1.238804,0.016855,3,4,28,4,12,4,12,0,0
2017-01-19,899.072998,12.42,43734448.34,2914045.251,296740,0,12.78,2263.69,1200.900024,16.966999,0.3268,0.146242,1.225971,0.0168,3,4,28,4,12,4,12,0,0
2017-01-20,895.026001,10.02,27016866.76,3165256.048,295214,0,11.54,2271.31,1204.300049,16.997,0.3268,0.145745,1.233837,0.016762,3,4,28,4,12,4,12,0,0
2017-01-21,921.789001,9.925,5933570.218,3031276.956,260542,0,11.54,2271.31,1204.300049,16.997,0.3268,0.145745,1.233837,0.016762,3,4,28,4,12,4,12,0,0
2017-01-22,924.672974,9.925,41096750.86,3398969.892,233672,0,11.54,2271.31,1204.300049,16.997,0.3268,0.145745,1.233837,0.016762,2,6,22,4,13,4,20,0,0
2017-01-23,921.012024,9.975,24607895.53,2715269.052,234193,0,11.77,2265.2,1215,17.15,0.3268,0.145444,1.238697,0.016722,2,6,22,4,13,4,20,0,0
2017-01-24,892.687012,24.275,3210327.312,2910612.149,275603,0,11.07,2280.07,1210.300049,17.149,0.3268,0.146113,1.251721,0.016804,2,6,22,4,13,4,20,0,0
2017-01-25,901.541992,24.275,29651242.15,2930146.459,302881,0,10.81,2298.37,1197.300049,16.944,0.3268,0.146007,1.253306,0.016909,2,6,22,4,13,4,20,0,0
2017-01-26,917.585999,12.56666667,26226846.71,3066886.627,313554,0,10.63,2296.68,1189.5,16.813999,0.3349,0.145484,1.263408,0.016788,2,6,22,4,13,4,20,0,0
2017-01-27,919.75,10.225,4725016.234,3320832.653,260698,0,10.58,2294.69,1188.099976,17.1,0.3349,0.145383,1.259541,0.016589,2,6,22,4,13,4,20,0,0
2017-01-28,921.590027,10.225,12103240.46,2969215.078,242288,0,10.58,2294.69,1188.099976,17.1,0.3349,0.145383,1.259541,0.016589,2,6,22,4,13,4,20,0,0
2017-01-29,919.495972,16.925,8485259.812,3262229.724,237157,0,10.58,2294.69,1188.099976,17.1,0.3349,0.145383,1.259541,0.016589,3,6,21,4,18,4,15,0,0
2017-01-30,920.382019,10.43333333,1219424.714,2852009.22,242855,0,11.88,2280.9,1193.199951,17.122,0.3349,0.145285,1.259192,0.016729,3,6,21,4,18,4,15,0,0
2017-01-31,970.403015,10.43333333,50109300.36,2832474.91,302946,0,11.99,2278.87,1208.599976,17.511999,0.3349,0.145334,1.25,0.016745,3,6,21,4,18,4,15,0,0
2017-02-01,989.02301,23.925,35717457.43,3750587.467,344621,0,11.81,2279.55,1205.599976,17.42,0.3349,0.145376,1.25897,0.016624,3,6,21,4,18,4,15,0,0
2017-02-02,1011.799988,15.35,6847946.828,3066886.627,254199,0,11.93,2280.85,1216.699951,17.402,0.3417,0.14533,1.266143,0.016641,3,6,21,4,18,4,15,0,0
2017-02-03,1029.910034,15.35,54515239.49,2910612.149,318987,0,10.97,2297.42,1218.5,17.452999,0.3417,0.145349,1.252003,0.016845,3,6,21,4,18,4,15,0,0
2017-02-04,1042.900024,16.46666667,43595760.48,3043000.843,281343,0,10.97,2297.42,1218.5,17.452999,0.3417,0.145349,1.252003,0.016845,3,6,21,4,18,4,15,0,0
2017-02-05,1027.339966,16.675,5977596.746,3336807.821,286914,0,10.97,2297.42,1218.5,17.452999,0.3417,0.145349,1.252003,0.016845,3,4,19,5,12,4,28,0,0
2017-02-06,1038.150024,16.675,27544311.11,2623276.589,225330,0,11.37,2292.56,1230,17.667,0.3417,0.145514,1.248424,0.016965,3,4,19,5,12,4,28,0,0
2017-02-07,1061.349976,18.28333333,40471212.35,3168918.119,320854,152134.8081,11.29,2293.08,1234.199951,17.733,0.3417,0.145696,1.246836,0.016978,3,4,19,5,12,4,28,0,0
2017-02-08,1063.069946,13.03333333,5657035.661,3063987.056,302577,215143.7872,11.45,2294.67,1237.599976,17.683001,0.3417,0.145254,1.249625,0.016823,3,4,19,5,12,4,28,0,0
2017-02-09,994.382996,13.03333333,141974564.6,3546669.948,340140,1206762.974,10.88,2307.87,1235.099976,17.719999,0.2765,0.145507,1.252803,0.0169,3,4,19,5,12,4,28,0,0
2017-02-10,988.674011,16.625,64475260.2,3105959.481,299823,945602.4266,10.85,2316.1,1234.400024,17.912001,0.2765,0.14559,1.249812,0.01696,3,4,19,5,12,4,28,0,0
